Nifty 100 ratio engine edge case log - generated 2026-09-10T08:51:16

[1] RETURN CROSS-CHECK ANOMALIES - 2
SIEMENS 2024-09 return_on_capital_employed_pct: computed=17.74 source=25.6 diff=7.86 category=version difference
PNB 2024-03 return_on_equity_pct: computed=61.32 source=8.7 diff=52.62 category=formula discrepancy

[2] CAGR SIGN EDGE CASES - 330
JINDALSTEL 2023-03 pat_cagr_5yr: flag=TURNAROUND category=handled edge case
JINDALSTEL 2024-03 pat_cagr_5yr: flag=TURNAROUND category=handled edge case
JSWSTEEL 2021-03 pat_cagr_5yr: flag=TURNAROUND category=handled edge case
M&M 2020-03 pat_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
NAUKRI 2020-03 pat_cagr_5yr: flag=BOTH_NEGATIVE category=handled edge case
NAUKRI 2022-03 pat_cagr_5yr: flag=TURNAROUND category=handled edge case
NAUKRI 2023-03 pat_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
PNB 2018-03 pat_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
PNB 2019-03 pat_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
PNB 2021-03 pat_cagr_5yr: flag=TURNAROUND category=handled edge case
PNB 2023-03 pat_cagr_5yr: flag=TURNAROUND category=handled edge case
PNB 2024-03 pat_cagr_5yr: flag=TURNAROUND category=handled edge case
SBIN 2018-03 pat_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
SBIN 2022-03 pat_cagr_5yr: flag=TURNAROUND category=handled edge case
SBIN 2023-03 pat_cagr_5yr: flag=TURNAROUND category=handled edge case
TATACONSUM 2021-03 pat_cagr_5yr: flag=TURNAROUND category=handled edge case
TATAMOTORS 2019-03 pat_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
TATAMOTORS 2020-03 pat_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
TATAMOTORS 2021-03 pat_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
TATAMOTORS 2022-03 pat_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
TATAMOTORS 2024-03 pat_cagr_5yr: flag=TURNAROUND category=handled edge case
TATASTEEL 2018-03 pat_cagr_5yr: flag=TURNAROUND category=handled edge case
TATASTEEL 2020-03 pat_cagr_5yr: flag=TURNAROUND category=handled edge case
TATASTEEL 2021-03 pat_cagr_5yr: flag=TURNAROUND category=handled edge case
TATASTEEL 2022-03 pat_cagr_5yr: flag=TURNAROUND category=handled edge case
TATASTEEL 2024-03 pat_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
TRENT 2018-03 pat_cagr_5yr: flag=TURNAROUND category=handled edge case
TRENT 2019-03 pat_cagr_5yr: flag=TURNAROUND category=handled edge case
TRENT 2021-03 pat_cagr_5yr: flag=DECLINE_TO_LOSS category=handled edge case
ADANIENSOL 2019-03 eps_cagr_5yr: flag=ZERO_BASE category=handled edge case
ADANIENSOL 2020-03 eps_cagr_5yr: flag=ZERO_BASE category=handled edge case
ADANIGREEN 2022-03 eps_cagr_5yr: flag=ZERO_BASE category=handled edge case
ADANIGREEN 2023-03 eps_cagr_5yr: flag=TURNAROUND category=handled edge case
